Price,Address,Beds,Baths,Type,Link
"$449,900","#213 -10 MENDELSSOHN ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/213-10-mendelssohn-st-wp_idm73000004-26873203-lst
"$899,900","40 LEROY AVE, Toronto, ON",3,3,House,https://www.remax.ca/on/toronto-real-estate/40-leroy-ave-wp_idm73000004-26873191-lst
"$795,000","##10 -686 WARDEN AVE, Toronto, ON",3,4,Condo,https://www.remax.ca/on/toronto-real-estate/10-686-warden-ave-wp_idm73000004-26873189-lst
"$459,990","#903 -32 TROLLEY CRES, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/903-32-trolley-cres-wp_idm73000004-26873180-lst
"$760,000","#3506 -10 NAVY WHARF CRT, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/3506-10-navy-wharf-crt-wp_idm73000004-26873179-lst
"$3,900,000","#4302 -224 KING ST W, Toronto, ON",4,3,Condo,https://www.remax.ca/on/toronto-real-estate/4302-224-king-st-w-wp_idm73000004-26873166-lst
"$1,300,000","21 RONDALE BLVD, Toronto, ON",5,2,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$1,850","#2 -679 DOVERCOURT RD, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/2-679-dovercourt-rd-wp_idm73000004-26873162-lst
"$659,000","#SPH23 -1 EDGEWATER DR, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/sph23-1-edgewater-dr-wp_idm73000004-26873152-lst
"$459,000","#2110 -125 BLUE JAYS WAY, Toronto, ON",0,1,Condo,https://www.remax.ca/on/toronto-real-estate/2110-125-blue-jays-way-wp_idm73000004-26873148-lst
"$948,000","82 ST NICHOLAS ST, Toronto, ON",2,2,House,https://www.remax.ca/on/toronto-real-estate/82-st-nicholas-st-wp_idm73000004-26873147-lst
"$669,900","#3209 -65 BREMNER BLVD, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/3209-65-bremner-blvd-wp_idm73000004-26873137-lst
"$750,000","#1707 -15 LOWER JARVIS ST, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/1707-15-lower-jarvis-st-wp_idm73000004-26873139-lst
"$2,759,000","#505 -25 SCRIVENER SQ, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/505-25-scrivener-sq-wp_idm73000004-26873136-lst
"$599,000","#4115 -85 WOOD ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/4115-85-wood-st-wp_idm73000004-26873143-lst
"$1,150,000","#504 -106 DOVERCOURT RD, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/504-106-dovercourt-rd-wp_idm73000004-26873138-lst
"$650,000","#1912 -85 BLOOR ST E, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/1912-85-bloor-st-e-wp_idm73000004-26873133-lst
"$1,898,800","483 ONTARIO ST, Toronto, ON",8,5,House,https://www.remax.ca/on/toronto-real-estate/483-ontario-st-wp_idm73000004-26873130-lst
"$29,000,000","#1700 -155 CUMBERLAND ST, Toronto, ON",3,4,Condo,https://www.remax.ca/luxury/on/toronto-real-estate/1700-155-cumberland-st-wp_idm73000004-26873127-lst
"$2,400","#1 -346 NORTHCLIFFE BLVD, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/1-346-northcliffe-blvd-wp_idm73000004-26873123-lst
"$1,169,000","#101 -70 ELMSTHORPE AVE, Toronto, ON",3,2,Condo,https://www.remax.ca/on/toronto-real-estate/101-70-elmsthorpe-ave-wp_idm73000004-26873121-lst
"$594,900","#1305 -70 DISTILLERY LANE E, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/1305-70-distillery-lane-e-wp_idm73000004-26872246-lst
"$869,900","#1218 -585 BLOOR ST E, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/1218-585-bloor-st-e-wp_idm73000004-26872232-lst
"$899,900","#14 -150 LONG BRANCH AVE, Toronto, ON",4,2,Condo,https://www.remax.ca/on/toronto-real-estate/14-150-long-branch-ave-wp_idm73000004-26872468-lst
"$1,225,000","10 INNES AVE, Toronto, ON",4,3,House,https://www.remax.ca/on/toronto-real-estate/10-innes-ave-wp_idm73000004-26872463-lst
"$694,900","#4106 -20 SHORE BREEZE DR, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/4106-20-shore-breeze-dr-wp_idm73000004-26872469-lst
