Price,Distance,Beds,Baths,Type,Address
2395,5.517,1,1,Condo,"#14 -510 JARVIS ST, Toronto, ON"
598000,2.971,1,1,Condo,"#406 -34 TUBMAN AVE, Toronto, ON"
1395000,13.482,3,2,House,"32 BELVIDERE AVE, Toronto, ON"
769000,10.831,2,2,Condo,"#323 -900 MOUNT PLEASANT RD, Toronto, ON"
1199000,5.683,3,2,Condo,"#1212 -501 YONGE ST, Toronto, ON"
1999000,29.394,3,4,House,"561 ARLINGTON AVE, Toronto, ON"
639900,12.005,2,2,Condo,"#444 -20 INN ON THE PARK DR, Toronto, ON"
799900,10.622,2,2,Condo,"#1 -89 LILLIAN ST, Toronto, ON"
675000,9.33,2,2,Condo,"#316 -36 LISGAR ST, Toronto, ON"
3689000,8.71,3,4,House,"16 ROWANWOOD AVE, Toronto, ON"
670000,1.759,2,1,Condo,"#301 -569 KING ST E, Toronto, ON"
560000,5.611,2,1,Condo,"#811 -12 YORK ST, Toronto, ON"
2395000,9.927,2,3,Condo,"#1102 -61 ST CLAIR AVE W, Toronto, ON"
625000,13.134,1,1,Condo,"#408 -2603 BATHURST ST, Toronto, ON"
674888,5.66,1,1,Condo,"#PH03 -10 WILLISON SQ, Toronto, ON"
699000,6.8,2,1,Condo,"#210 -901 QUEEN ST W, Toronto, ON"
798000,10.548,2,1,Condo,"#206 -1 BELSIZE DR, Toronto, ON"
2299000,12.773,5,4,House,"623 VESTA DR, Toronto, ON"
